'y-axis saved as y
'x,KHM052_h-CuMnAs_reflection_3_21_19_2.raw,Ycalc
14.0259132,135,123.588731
14.0464075,114,123.117627
14.0669018,121,122.649227
14.087396,132,122.183525
14.1078903,111,121.720511
14.1283846,121,121.260189
14.1488788,116,120.802564
14.1693731,138,120.347638
14.1898673,128,119.895411
14.2103616,126,119.445883
14.2308559,115,118.999055
14.2513501,109,118.554929
14.2718444,112,118.113504
14.2923387,137,117.674786
14.3128329,133,117.238778
14.3333272,145,116.805468
14.3538214,142,116.374843
14.3743157,121,115.946917
14.39481,104,115.521701
14.4153042,116,115.099214
14.4357985,118,114.679492
14.4562928,129,114.262611
14.476787,126,113.848714
14.4972813,129,113.438065
14.5177755,102,113.031149
14.5382698,94,112.62891
14.5587641,114,112.233264
14.5792583,124,111.84738
14.5997526,124,111.471404
14.6202469,116,111.089811
14.6407411,112,110.682129
14.6612354,112,110.269731
14.6817296,113,109.87789
14.7022239,100,109.496073
14.7227182,109,109.106895
14.7432124,121,108.712607
14.7637067,102,108.325303
14.784201,110,107.94632
14.8046952,100,107.572219
14.8251895,103,107.201386
14.8456837,105,106.833386
14.866178,116,106.468079
14.8866723,122,106.105406
14.9071665,122,105.745339
14.9276608,106,105.38787
14.9481551,100,105.032997
14.9686493,112,104.680731
14.9891436,102,104.331102
15.0096378,95,103.984174
15.0301321,107,103.640089
15.0506264,92,103.299156
15.0711206,93,102.961995
15.0916149,83,102.629761
15.1121092,104,102.304615
15.1326034,112,101.990737
15.1530977,99,101.696566
15.1735919,108,101.437875
15.1940862,104,101.228728
15.2145805,111,101.025113
15.2350747,117,100.688958
15.255569,115,100.214202
15.2760633,132,99.8411975
15.2965575,77,99.5551101
15.3170518,96,99.261192
15.337546,106,98.9031171
15.3580403,100,98.5406009
15.3785346,103,98.2401932
15.3990288,83,97.985461
15.4195231,116,97.7265968
15.4400174,94,97.3995761
15.4605116,104,97.0352844
15.4810059,86,96.7212677
15.5015001,104,96.4413902
15.5219944,95,96.151013
15.5424887,84,95.8326063
15.5629829,83,95.5143753
15.5834772,90,95.2169754
15.6039715,100,94.9312082
15.6244657,97,94.6503429
15.64496,105,94.372602
15.6654542,95,94.0974424
15.6859485,109,93.8246433
15.7064428,94,93.554101
15.726937,88,93.2857541
15.7474313,92,93.0195593
15.7679256,86,92.7554827
15.7884198,109,92.4934983
15.8089141,89,92.2335848
15.8294084,92,91.9757238
15.8499026,88,91.7198985
15.8703969,100,91.4660937
15.8908911,89,91.2142948
15.9113854,89,90.9644884
15.9318797,85,90.7166617
15.9523739,93,90.470804
15.9728682,97,90.2269082
15.9933625,76,89.9849605
16.0138567,106,89.744931
16.034351,86,89.5068127
16.0548452,88,89.2705992
16.0753395,94,89.0362803
16.0958338,91,88.8038451
16.116328,89,88.5732833
16.1368223,82,88.3445846
16.1573166,94,88.1177399
16.1778108,90,87.8927404
16.1983051,86,87.6695785
16.2187993,70,87.448248
16.2392936,87,87.2287447
16.2597879,73,87.011067
16.2802821,90,86.795217
16.3007764,71,86.5812025
16.3212707,73,86.3690464
16.3417649,100,86.1588118
16.3622592,78,85.9506254
16.3827534,92,85.7447305
